Epoch, NumTrainingWords, LAS
0, 1179, 32.61951835354089
1, 2689, 51.52569019318263
2, 4200, 59.03861270574784
3, 5717, 62.99516447916915
4, 7217, 65.8393082584979
5, 8724, 66.84690693408923
6, 10231, 66.41575951025465
7, 11752, 68.98835187346657
8, 13282, 67.42812224577786
9, 14792, 69.40520711750554
10, 16297, 69.53860079559801
11, 17811, 69.76727567232795
12, 19312, 70.72008765870275
13, 20824, 69.66484838379267
14, 22333, 69.78633191205546
15, 23842, 71.6514613753841
16, 25344, 71.16076320240109
17, 26865, 69.75298349253234
18, 28369, 71.81582144303376
19, 29883, 70.41280579309688
20, 31390, 69.73869131273672
21, 32933, 70.54858150115528
22, 34459, 71.66813558514566
23, 35962, 71.7348324241919
24, 37462, 72.3470141254377
25, 38979, 72.9139372573307
26, 40483, 70.58431195064433
27, 41999, 72.49231795335986
28, 43521, 72.98778018627475
29, 45037, 71.92539482146685
30, 46549, 71.99447369047903
31, 48094, 72.86153259808009
32, 49619, 72.28508134632334
33, 51122, 71.98494557061528
34, 52662, 73.19978085324314
35, 54187, 72.1731259379243
36, 55695, 74.18594125914105
37, 57218, 73.64760248683929
38, 58733, 73.48562444915557
39, 60244, 73.44751196970059
40, 61747, 70.43186203282437
41, 63260, 72.31366570591457
42, 64775, 71.64907934541816
43, 66287, 73.15690431385627
44, 67791, 73.50468068888307
45, 69295, 74.51227936447441
46, 70819, 73.28076987208499
47, 72342, 73.29029799194873
48, 73845, 72.675734260737
49, 75382, 74.19308734903885
50, 76883, 74.47178485505347
51, 78418, 73.67618684643053
52, 79921, 72.978252066411
53, 81438, 74.06207570091232
54, 82949, 73.809580524523
55, 84477, 72.46373359376861
56, 85984, 73.90724375312641
57, 87516, 74.4027059860413
58, 89040, 73.809580524523
59, 90544, 72.65191396107763
60, 92072, 73.27362378218719
61, 93592, 74.03110931135514
62, 95102, 74.0477835211167
63, 96633, 74.3955598961435
64, 98138, 73.16643243372002
65, 99668, 72.1016650389462
66, 101170, 74.23119982849384
67, 102671, 72.93775755699006
68, 104190, 72.43514923417736
69, 105694, 74.25978418808509
70, 107194, 73.54279316833805
71, 108451, 73.56899549796337
